state,lgc,population,land_size_klm2,senatorial_district,Male,Female
Anambra,Oyi,168201,138.019,A,85694,82507,
Bauchi,Alkaleri,328284,6092.833,A,166936,161348,
Bauchi,Bauchi,493730,3806.624,A,252420,241310,
Bauchi,Bogoro,83809,919.936,A,41776,42033,
Bauchi,Damban,150212,1121.467,B,75978,74234,
Bauchi,Darazo,249946,3128.715,B,126741,123205,
Bauchi,Dass,90114,551.783,A,46695,43419,
Bauchi,Gamawa,284411,3055.895,C,145510,138901,
Bauchi,Ganjuwa,278471,5239.237,B,140402,138069,
Bauchi,Giade,156022,694.577,C,79628,76394,
Bauchi,Itas/Gadau,228527,1459.507,C,114808,113719,
Bauchi,Jama'Are,117482,513.701,C,60941,56541,
Bauchi,Katagum,293020,1496.563,C,152552,140468,
Bauchi,Kirfi,145636,2448.541,A,75337,70299,
Bauchi,Misau,261410,1275.189,B,135704,125706,
Bauchi,Ningi,385997,4802.044,B,196528,189469,
Bauchi,Shira,233999,1374.843,C,118888,115111,
Bauchi,Tafawa-Balewa,221310,2590.058,A,110372,110938,
Bauchi,Toro,346000,7168.231,A,172921,173079,
Bauchi,Warji,114983,649.561,B,58054,56929,
Bauchi,Zaki,189703,1544.568,C,97075,92628,
Bayelsa,Brass,184127,1410.76,A,94359,89768,
Bayelsa,Ekeremor,269588,1820.23,C,137753,131835,
Bayelsa,Kolokuma/Opokuma,79266,363.334,B,39952,39314,
Bayelsa,Nembe,130966,763.877,A,66768,64198,
Bayelsa,Ogbia,179606,699.013,A,92015,87591,
Bayelsa,Sagbama,186869,951.65,C,95667,91202,
Bayelsa,Southern Ijaw,321808,2695.86,B,165329,156479,
Bayelsa,Yenegoa,352285,711.024,B,182240,170045,
Benue,Ado,184389,1238.188,C,92367,92022,
Benue,Agatu,115597,1034.298,C,58478,57119,
Benue,Apa,96780,1013.459,C,48658,48122,
Benue,Buruku,206215,1267.052,B,103655,102560,
Benue,Gboko,361325,1866.328,B,180669,180656,
Benue,Guma,194164,2938.691,B,97318,96846,
Benue,Gwer East,168660,2334.054,B,85287,83373,
Benue,Gwer West,122313,1114.241,B,61764,60549,
Benue,Katsina-Ala,225471,2441.891,A,114093,111378,
Benue,Konshisha,226492,1699.9,A,114192,112300,
Benue,Kwande,248642,2933.664,A,125442,123200,
Benue,Logo,169570,1433.532,A,86069,83501,
Benue,Makurdi,300377,835.624,B,154138,146239,
Benue,Obi,98707,429.192,C,49143,49564,
Benue,Ogbadibo,130988,607.076,C,64847,66141,
Benue,Ohimini,70688,642.524,C,35876,34812,
Benue,Oju,168491,1301.755,C,84220,84271,
Benue,Okpokwu,175596,742.555,C,89193,86403,
Benue,Oturkpo,266411,1290.827,C,136612,129799,
Benue,Tarka,79280,377.679,B,39783,39497,
Benue,Ukum,216983,1541.565,A,108728,108255,
Benue,Ushongo,191935,1247.527,A,96062,95873,
Benue,Vandeikya,234567,945.087,A,117449,117118,
Borno,Abadam,100065,4172.272,A,53749,46316,
Borno,Askira/Uba,143313,2431.83,C,72676,70637,
Borno,Bama,270119,5158.866,B,136524,133595,
Borno,Bayo,79078,985.784,C,39287,39791,
Borno,Biu,175760,3423.862,A,90609,85151,
Borno,Chibok,66333,1391.995,C,33952,32381,
Borno,Damboa,233200,6426.184,C,125873,107327,
Borno,Dikwa,105042,1836.891,B,55160,49882,
Borno,Gubio,151286,2575.093,A,78893,72393,
Borno,Guzamala,95991,2631.444,A,50254,45737,
Borno,Gwoza,276568,2973.154,B,143407,133161,
Borno,Hawul,120733,2160.993,C,59611,61122,
Borno,Jere,209107,900.715,B,107714,101393,
Borno,Kaga,89996,2802.457,C,47150,42846,
Borno,Kala/Balge,60834,1962.132,B,31260,29574,
Borno,Konduga,157322,6065.892,B,80017,77305,
Borno,Kukawa,203343,5124.413,A,109287,94056,
Borno,Kwaya Kusar,56704,754.692,C,29007,27697,
Borno,Mafa,103600,2976.987,B,53351,50249,
Borno,Magumeri,140257,5057.607,A,72510,67747,
Borno,Maiduguri,540016,137.356,B,282409,257607,
Borno,Marte,129409,3280.02,A,67777,61632,
Borno,Mobbar,116633,2925.968,A,61426,55207,
Borno,Monguno,109834,1993.201,A,57146,52688,
Borno,Ngala,236498,1519.821,B,122127,114371,
Borno,Nganzai,99074,2572.345,A,50822,48252,
Borno,Shani,100989,1238.933,C,51360,49629,
Cross River,Abi,144317,284.901,B,73077,71240,
Cross River,Akamkpa,149705,5049.99,C,76921,72784,
Cross River,Akpabuyo,272262,813.684,C,141602,130660,
Cross River,Bakassi,31641,462.622,C,18175,13466,
Cross River,Bekwara,105497,310.003,A,52914,52583,
Cross River,Biase,168113,1323.39,C,85625,82488,
