state,lgc,population,land_size_klm2,senatorial_district,Male,Female
Kwara,Isin,59481,644.433,C,30088,29393,
Kwara,Kaiama,124015,7125.225,A,64901,59114,
Kwara,Moro,108715,3337.397,A,54860,53855,
Kwara,Offa,88975,96.971,C,44813,44162,
Kwara,Oke-Ero,56970,445.617,C,28358,28612,
Kwara,Oyun,94454,484.19,C,47890,46564,
Kwara,Pategi,110852,2975.126,A,57746,53106,
Lagos,Agege,461743,11.263,C,238456,223287,
Lagos,Ajeromi-Ifelodun,687316,12.395,C,352273,335043,
Lagos,Alimosho,1319571,186.195,C,665750,653821,
Lagos,Amuwo-Odofin,328975,135.24,C,173742,155233,
Lagos,Apapa,222986,26.798,A,123163,99823,
Lagos,Badagry,237731,442.993,C,119821,117910,
Lagos,Epe,181734,1194.24,B,91925,89809,
Lagos,Eti-Osa,283791,193.46,A,158858,124933,
Lagos,Ibeju/Lekki,117793,457.821,B,60729,57064,
Lagos,Ifako-Ijaye,427737,26.769,C,219109,208628,
Lagos,Ikeja,317614,46.427,C,171782,145832,
Lagos,Ikorodu,527917,396.488,B,268463,259454,
Lagos,Kosofe,682772,81.889,B,358935,323837,
Lagos,Lagos Island,212700,8.707,A,110042,102658,
Lagos,Lagos Mainland,326700,19.572,A,170568,156132,
Lagos,Mushin,631857,17.576,C,326873,304984,
Lagos,Ojo,609173,158.884,C,315401,293772,
Lagos,Oshodi-Isolo,629061,44.999,C,325207,303854,
Lagos,Shomolu,403569,11.615,B,207519,196050,
Lagos,Surulere,502865,23.122,A,260509,242356,
Nasarawa,Akwanga,111902,1021.546,A,56135,55767,
Nasarawa,Awe,113083,2611.464,C,57326,55757,
Nasarawa,Doma,138991,2771.336,C,71395,67596,
Nasarawa,Karu,216230,2707.642,B,109515,106715,
Nasarawa,Keana,81801,1070.503,C,40873,40928,
Nasarawa,Keffi,92550,141.514,B,47527,45023,
Nasarawa,Kokona,108558,1889.651,B,54379,54179,
Nasarawa,Lafia,329922,2821.19,C,165631,164291,
Nasarawa,Nasarawa,187220,5860.505,B,95105,92115,
Nasarawa,Nasarawa-Eggon,148405,1237.42,A,74543,73862,
Nasarawa,Obi,148977,989.433,C,74675,74302,
Nasarawa,Toto,119051,2963.84,B,59884,59167,
Nasarawa,Wamba,72687,1185.453,A,36813,35874,
Niger,Agaie,132098,1948.984,C,66703,65395,
Niger,Agwara,57347,1586.549,B,29293,28054,
Niger,Bida,185553,52.259,C,93741,91812,
Niger,Borgu,172835,11579.768,B,87327,85508,
Niger,Bosso,148136,1636.331,A,75033,73103,
Niger,Chanchaga,202151,74.384,A,105265,96886,
Niger,Edati,159818,1792.426,C,80615,79203,
Niger,Gbako,126845,1797.498,C,63871,62974,
Niger,Gurara,90879,980.103,A,45153,45726,
Niger,Katcha,120893,1723.143,C,60526,60367,
Niger,Kontagora,151968,2146.023,B,77782,74186,
Niger,Lapai,117021,3121.596,C,59974,57047,
Niger,Lavun,209777,2906.926,C,107146,102631,
Niger,Magama,181470,4230.863,B,90740,90730,
Niger,Mariga,199600,5739.556,B,100899,98701,
Niger,Mashegu,215197,9433.487,B,107909,107288,
Niger,Mokwa,242858,4439.503,C,123467,119391,
Niger,Muya,103461,2241.007,A,52584,50877,
Niger,Paikoro,158178,2122.835,A,79399,78779,
Niger,Rafi,186118,3794.492,A,94395,91723,
Niger,Rijau,176199,3308.414,B,88875,87324,
Niger,Shiroro,235665,5171.926,A,118640,117025,
Niger,Suleja,215075,122.085,A,112030,103045,
Niger,Tafa,83874,227.521,A,41524,42350,
Niger,Wushishi,81756,1930.901,B,41459,40297,
Ogun,Abeokuta North,198793,813.997,A,96463,102330,
Ogun,Abeokuta South,250295,71.952,A,119977,130318,
Ogun,Ado-Odo/Ota,527242,881.979,C,261523,265719,
Ogun,Egbado North,183844,2100.22,C,89880,93964,
Ogun,Egbado South,168336,631.844,C,81666,86670,
Ogun,Ewekoro,55093,598.045,A,28212,26881,
Ogun,Ifo,539170,524.383,A,269206,269964,
Ogun,Ijebu East,109321,2254.92,B,56981,52340,
Ogun,Ijebu North,280520,975.886,B,141074,139446,
Ogun,Ijebu North East,68800,119.074,B,34581,34219,
Ogun,Ijebu Ode,157161,193.254,B,76466,80695,
Ogun,Ikenne,119117,144.874,B,60607,58510,
Ogun,Imeko-Afon,82952,1669.5,C,41850,41102,
Ogun,Ipokia,150387,631.884,C,74649,75738,
Ogun,Obafemi-Owode,235071,1420.77,A,118574,116497,
Ogun,Odeda,109522,1574.51,A,55200,54322,
Ogun,Odogbolu,125657,545.223,B,63838,61819,
Ogun,Ogun Waterside,74222,1008.81,B,37412,36810,
Ogun,Remo North,59752,201.048,B,29893,29859,
Ogun,Shagamu,255885,618.367,B,126855,129030,
Ondo,Akoko North East,179092,378.166,A,92456,86636,
Ondo,Akoko North West,211867,520.752,A,107076,104791,
Ondo,Akoko South East,82443,229.035,A,42175,40268,
Ondo,Akoko South West,228383,537.904,A,114733,113650,
Ondo,Akure North,130765,669.045,B,66526,64239,
Ondo,Akure South,360268,335.805,B,178672,181596,
Ondo,Ese-Odo,158256,768.529,C,79812,78444,
Ondo,Idanre,129795,1936.78,B,67531,62264,
Ondo,Ifedore,176372,299.284,B,89574,86798,
Ondo,Ilaje,289838,1328.85,C,146859,142979,
Ondo,Ile-Oluji-Okeigbo,171876,706.477,C,87104,84772,
Ondo,Irele,144136,972.049,C,72861,71275,
Ondo,Odigbo,232287,1836.88,C,116299,115988,
Ondo,Okitipupa,234138,810.723,C,117594,116544,
Ondo,Ondo East,76092,358.183,B,38851,37241,
Ondo,Ondo West,288868,981.393,B,141759,147109,
Ondo,Ose,144139,1484.56,A,73119,71020,
Ondo,Owo,222262,1040.77,A,112056,110206,
Osun,Aiyedade,149569,1125.92,C,76032,73537,
Osun,Aiyedire,76309,265.783,C,38299,38010,
Osun,Atakumosa East,76105,241.225,B,38945,37160,
Osun,Atakumosa West,68350,584.693,B,34859,33491,
Osun,Boluwaduro,70954,145.895,A,36045,34909,
Osun,Boripe,138742,133.913,A,71052,67690,
Osun,Ede North,83818,112.379,C,42282,41536,
Osun,Ede South,75489,221.619,C,38233,37256,
Osun,Egbedore,73969,274.302,C,37302,36667,
Osun,Ejigbo,132515,378.352,C,67437,65078,
Osun,Ife Central,167204,112.372,B,88403,78801,
Osun,Ife East,188614,174.066,B,95106,93508,
Osun,Ife North,153274,899.929,B,76852,76422,
Osun,Ife South,134490,738.609,B,68450,66040,
Osun,Ifedayo,37508,130.324,A,19227,18281,
Osun,Ifelodun,96444,116.158,A,48567,47877,
Osun,Ila,62054,307.639,A,31488,30566,
Osun,Ilesha East,105416,71.558,B,52721,52695,
Osun,Ilesha West,106809,63.713,B,52985,53824,
Osun,Irepodun,119590,65.151,A,60553,59037,
Osun,Irewole,142806,273.973,C,71730,71076,
Osun,Isokan,102060,181.214,C,51304,50756,
Osun,Iwo,191348,217.227,C,96419,94929,
Osun,Obokun,116850,534.605,A,59587,57263,
Osun,Odo-Otin,132078,299.097,A,67956,64122,
Osun,Ola-Oluwa,76227,332.117,C,39233,36994,
Osun,Olorunda,131649,98.131,A,66684,64965,
Osun,Oriade,148379,471.853,B,75213,73166,
Osun,Orolu,102832,80.793,A,52790,50042,
Osun,Osogbo,155507,47.23,A,78395,77112,
Oyo,Afijio,132184,730.8,A,66434,65750,
Oyo,Akinyele,211811,524.298,A,105594,106217,
Oyo,Atiba,168246,1782.98,A,84266,83980,
Oyo,Atigbo,109965,3038.05,B,56747,53218,
Oyo,Egbeda,283643,192.805,A,137527,146116,
Oyo,Ibadan Central [Ibadan North East],331444,18.077,C,163844,167600,
Oyo,Ibadan North,308119,27.562,C,152608,155511,
Oyo,Ibadan North West,154029,26.228,C,75410,78619,
Oyo,Ibadan South East,266457,17.032,C,130334,136123,
Oyo,Ibadan South West,283098,40.751,C,139622,143476,
Oyo,Ibarapa Central,103243,444.016,C,52094,51149,
Oyo,Ibarapa East,117182,846.631,C,59315,57867,
Oyo,Ibarapa North,100293,1229.8,C,51272,49021,
Oyo,Ido,104087,996.825,C,52465,51622,
Oyo,Irepo,121240,1003.2,B,62601,58639,
Oyo,Iseyin,255619,1364.42,B,129268,126351,
Oyo,Itesiwaju,127391,1534.19,B,65820,61571,
Oyo,Iwajowa,102847,2557.18,B,52472,50375,
Oyo,Kajola,200528,616.212,B,101188,99340,
Oyo,Lagelu,148133,342.341,A,74220,73913,
Oyo,Ogbomosho North,198859,187.365,B,103418,95441,
Oyo,Ogbomosho South,100379,69.293,B,50862,49517,
Oyo,Ogo Oluwa,65198,373.868,A,33403,31795,
Oyo,Olorunsogo,81339,1088.58,B,41795,39544,
Oyo,Oluyole,203461,635.045,A,102371,101090,
Oyo,Ona-Ara,265571,292.607,A,130615,134956,
Oyo,Orelope,104004,933.486,B,52996,51008,
Oyo,Ori Ire,149408,2150.4,B,76465,72943,
Oyo,Oyo East,124095,145.812,A,62147,61948,
Oyo,Oyo West,136457,532.677,A,68897,67560,
Oyo,Saki East,108957,864.248,B,56014,52943,
Oyo,Saki West,273268,2043.15,B,138677,134591,
Oyo,Surulere,140339,1595.33,A,71671,68668,
Plateau,Barikin Ladi,179805,1061.5,C,90913,88892,
Plateau,Bassa,189834,1773.92,C,94725,95109,
Plateau,Bokkos,179550,1727.18,B,88560,90990,
Plateau,Jos East,88301,1050.79,C,44980,43321,
Plateau,Jos North,437217,300.526,C,220856,216361,
Plateau,Jos South,311392,525.077,C,157067,154325,
Plateau,Kanam,167619,2671.32,B,81162,86457,
Plateau,Kanke,124268,951.385,B,61376,62892,
Plateau,Langtang North,142316,859.765,A,70203,72113,
Plateau,Langtang South,105173,1214.93,A,53111,52062,
Plateau,Mangu,300520,1698.74,B,148590,151930,
Plateau,Mikang,96388,758.076,A,47584,48804,
Plateau,Pankshin,190114,1564.43,B,95376,94738,
Plateau,Qua'An Pan,197276,2537.16,A,96800,100476,
Plateau,Riyom,131778,830.029,C,66248,65530,
Plateau,Shendam,205119,2535.18,A,101951,103168,
Plateau,Wase,159861,5156.94,A,79496,80365,
Rivers,Abua/Odual,282410,708.635,C,145243,137167,
Rivers,Ahoada East,166324,343.53,C,85467,80857,
Rivers,Ahoada West,249232,406.153,C,127906,121326,
Rivers,Akuku Toru,161103,1451.64,C,82949,78154,
Rivers,Andoni,217924,234.293,B,111946,105978,
Rivers,Asari-Toru,219787,113.357,C,112283,107504,
Rivers,Bonny,214983,645.601,C,116340,98643,
Rivers,Degema,249467,1016.83,C,128041,121426,
Rivers,Eleme,190194,837.216,B,98345,91849,
Rivers,Emohua,201057,139.012,A,102634,98423,
Rivers,Etche,249939,811.524,A,127869,122070,
Rivers,Gokana,233813,126.758,B,118222,115591,
Rivers,Ikwerre,188930,660.468,A,97575,91355,
Rivers,Khana,292924,564.116,B,147315,145609,
Rivers,Obia/Akpor,462350,261.443,A,238951,223399,
Rivers,Ogba/Egbema/Ndoni,283294,977.486,C,145326,137968,
Rivers,Ogu/Bolo,75282,89.278,A,38552,36730,
Rivers,Okrika,222285,223.487,A,113962,108323,
Rivers,Omumma,100388,171.32,C,50853,49535,
Rivers,Opobo/Nkoro,152833,130.949,B,77556,75277,
Rivers,Oyigbo,125331,249.545,B,63434,61897,
Rivers,Port-Harcourt,538558,109.986,A,280703,257855,
Rivers,Tai,120308,159.659,B,61554,58754,
Sokoto,Binji,104274,587.316,B,52949,51325,
Sokoto,Bodinga,174302,591.682,C,87844,86458,
Sokoto,Dange-Shuni,193443,1269.572,C,97709,95734,
Sokoto,Gada,249051,1390.3,A,122232,126819,
Sokoto,Goronyo,182118,1796.305,A,90639,91479,
Sokoto,Gudu,95400,3659.888,B,48125,47275,
Sokoto,Gwadabawa,231569,1045.101,A,116300,115269,
Sokoto,Illela,150133,1316.156,A,74949,75184,
Sokoto,Isa,150268,2273.925,A,73474,76794,
Sokoto,Kebbe,123154,2724.069,C,62338,60816,
Sokoto,Kware,134084,582.963,B,66778,67306,
Sokoto,Rabah,149152,2557.074,A,75001,74151,
Sokoto,Sabon Birni,207470,2486.014,A,99397,108073,
Sokoto,Shagari,156907,1393.624,C,79438,77469,
Sokoto,Silame,104601,829.016,B,53091,51510,
Sokoto,Sokoto North,233012,53.484,B,124134,108878,
Sokoto,Sokoto South,197686,43.179,B,103207,94479,
Sokoto,Tambuwal,225917,1792.946,C,113495,112422,
Sokoto,Tangaza,114770,2610.828,B,55309,59461,
Sokoto,Tureta,68414,2494.141,C,34567,33847,
Sokoto,Wamakko,179246,732.146,B,91466,87780,
Sokoto,Wurno,162403,720.718,A,81854,80549,
Sokoto,Yabo,115302,826.439,C,59417,55885,
Taraba,Ardo-Kola,87784,2312.186,C,44533,43251,
Taraba,Bali,211024,9319.186,B,107979,103045,
Taraba,Donga,133105,3175.728,A,67582,65523,
Taraba,Gashaka,87166,8521.234,B,45587,41579,
Taraba,Gassol,245086,5665.131,B,126856,118230,
Taraba,Ibi,84302,2728.872,A,42654,41648,
Taraba,Jalingo,140318,195.071,C,71997,68321,
Taraba,Karim-Lamido,193924,6784.789,C,98315,95609,
Taraba,Kurmi,91282,4419.176,B,46383,44899,
Taraba,Lau,95190,1700.144,C,48582,46608,
Taraba,Sardauna,224357,4662.045,B,112060,112297,
Taraba,Takum,134576,2542.513,A,68062,66514,
Taraba,Ussa,90889,1517.904,A,46558,44331,
Taraba,Wukari,238283,4391.812,A,124285,113998,
Taraba,Yorro,89865,1303.579,C,45633,44232,
Taraba,Zing,127685,1052.45,C,64759,62926,
Yobe,Bade,139804,809.661,B,73709,66095,
Yobe,Bursari,109692,4003.656,A,56381,53311,
Yobe,Damaturu,87706,2461.408,A,48361,39345,
Yobe,Fika,136736,2293.217,C,69175,67561,
Yobe,Fune,301954,5153.394,C,150896,151058,
Yobe,Geidam,155740,4560.199,A,82482,73258,
Yobe,Gujba,129797,3358.438,A,72310,57487,
Yobe,Gulani,103516,2161.895,A,51686,51830,
Yobe,Jakusko,232458,4125.929,B,120728,111730,
Yobe,Karasuwa,105514,1221.939,B,55385,50129,
Yobe,Machina,60994,1277.134,B,31771,29223,
Yobe,Nangere,87517,1021.259,C,44470,43047,
Yobe,Nguru,150699,964.031,B,80827,69872,
Yobe,Potiskum,204866,581.793,C,105388,99478,
Yobe,Tarmua,77667,4794.714,A,40612,37055,
Yobe,Yunusari,125940,3983.457,A,64918,61022,
Yobe,Yusufari,110739,4137.636,B,55935,54804,
Zamfara,Anka,143637,2864.202,C,72456,71181,
Zamfara,Bakura,187141,1432.245,C,92369,94772,
Zamfara,Birnin Magaji,184083,1244.767,A,90824,93259,
Zamfara,Bukkuyum,216348,3350.013,C,108812,107536,
Zamfara,Bungudu,258644,2396.073,B,128831,129813,
Zamfara,Gummi,206721,2720.043,C,102686,104035,
Zamfara,Gusau,383712,3509.381,B,198682,185030,
Zamfara,Kaura Namoda,285363,909.762,A,145548,139815,
Zamfara,Maradun,207563,2864.499,C,106403,101160,
Zamfara,Maru,293141,6921.864,B,146920,146221,
Zamfara,Shinkafi,135964,709.734,A,66512,69452,
Zamfara,Talata Mafara,215650,1496.569,C,107516,108134,
Zamfara,Tsafe,266929,1772.373,B,129010,137919,
Zamfara,Zurmi,293977,2979.104,A,145054,148923,
