state,lgc,population,land_size_klm2,senatorial_district,Male,Female,lgc_value,lgc_faac_per_capita,lgc_rank,prev_month_lgc,current_month_lgc,,,
Akwa Ibom,Etinan,168924,176.181,A,85760,83164,78244712.71,463.1947663,378,152624397.9,161536546.4,
Akwa Ibom,Ibeno,74840,244.951,C,40006,34834,62693502.38,837.7004594,719,123090989.9,129682547.7,
Akwa Ibom,Ibesikpo Asutan,137127,155.691,A,69681,67446,72757978.75,530.5882777,526,142331125.6,150415690.6,
Akwa Ibom,Ibiono Ibom,188605,339.856,A,96106,92499,79157312.56,419.6989081,357,156340487.2,165250387.1,
Akwa Ibom,Ika,72772,113.644,B,36996,35776,60921659.67,837.1579683,738,120829136.1,127079291.1,
Akwa Ibom,Ikono,131673,261.2,B,66080,65593,72059376.16,547.2600773,542,140873691.7,148863134.4,
Akwa Ibom,Ikot Abasi,132608,361.968,C,67806,64802,72079692.8,543.5546332,540,140911783.7,148904292.4,
Akwa Ibom,Ikot Ekpene,141408,116.844,B,71738,69670,74339480.49,525.7091571,484,144857211.4,153211095.7,
Akwa Ibom,Ini,99084,375.808,B,50108,48976,67916400.62,685.442661,637,131978394.6,139421330.1,
Akwa Ibom,Itu,127856,176.153,A,65410,62446,69346066.37,542.3763169,605,137258667.1,144735867.5,
Akwa Ibom,Mbo,102173,216.691,C,52351,49822,64730430.84,633.5375377,686,129140909.3,135884128.8,
Akwa Ibom,Mkpat Enin,177293,331.846,C,89283,88010,80421384.96,453.6072206,326,156171530.5,165449437.6,
Akwa Ibom,Nsit Atai,73395,135.328,A,37186,36209,67105691.38,914.3087592,655,132350271.4,139538790.6,
Akwa Ibom,Nsit Ibom,108095,142.962,A,55197,52898,70606376.03,653.1881773,583,138795620.5,146520679.7,
Akwa Ibom,Nsit Ubium,127083,207.28,A,64674,62409,73440886.22,577.8970139,509,144570588.4,152691260,
Akwa Ibom,Obot Akara,147286,239.565,B,74392,72894,63124363.88,428.5835984,710,127392237.4,133804944.5,
Akwa Ibom,Okobo,102753,301.787,C,52395,50358,65914115.63,641.4811794,672,133020261.5,139826226.2,
Akwa Ibom,Onna,123193,163.222,C,61413,61780,67514592.44,548.0391941,645,129971908.5,137441686.5,
Akwa Ibom,Oron,87209,54.059,C,44545,42664,79547146.14,912.1437712,345,154497496.8,163645908.4,
Akwa Ibom,Oruk Anam,171839,527.4,B,86863,84976,59255202.79,344.8297697,748,116382266.6,122473250.3,
Akwa Ibom,Udung Uko,53060,60.927,C,27613,25447,72706617.72,1370.271725,529,140930183.6,149098073.7,
Akwa Ibom,Ukanafun,125473,248.246,B,63308,62165,59276304.29,472.4227865,747,117797568,123795697,
Akwa Ibom,Uruan,117169,349.371,A,59254,57915,77305816.84,659.780461,404,144788458.7,153983048.8,
Akwa Ibom,Urue-Offong/Oruko,70740,127.54,C,36208,34532,63966757.75,904.2515939,699,123918246.6,130810854.5,
Akwa Ibom,Uyo,305961,188.024,A,155698,150263,96688873.59,316.0169878,105,191514306.9,202909103.2,
Anambra,Aguata,369972,197.174,C,187262,182710,108753490.3,293.950597,48,213477069.2,231705304.1,
Anambra,Anambra East,152149,253.661,A,77539,74610,71522484.82,470.0818594,558,143235371.7,155720465.7,
Anambra,Anambra West,167303,965.656,A,85833,81470,73576410.89,439.7793876,506,147393915.3,160176049.7,
Anambra,Anaocha,284215,105.52,B,142961,141254,88931446.33,312.9020155,187,180124227.1,195012443.5,
Anambra,Awka North,112192,356.03,B,57219,54973,67540540.23,602.0085232,644,133381114.8,145415441,
Anambra,Awka South,189654,172.209,B,96902,92752,77754222.54,409.9793442,388,154915388.4,168367150.7,
Anambra,Ayamelum,158152,596.194,A,81065,77087,72060623.91,455.6415594,541,144510420.7,157060391.9,
Anambra,Dunukofia,96517,66.319,B,49476,47041,64431151.56,667.5627253,690,127766418.1,139303534.4,
Anambra,Ekwusigo,158429,117.67,C,80053,78376,71562871.64,451.7031076,556,143934663,156382489.1,
Anambra,Idemili North,431005,138.534,B,219223,211782,113215042.7,262.6768661,37,226519587.7,245113170.2,
Anambra,Idemili South,206816,116.739,B,105830,100986,78684591.38,380.4569829,367,158435897.2,171907946,
Anambra,Ihiala,302277,254.315,C,152200,150077,96199812.98,318.2505218,109,190474122.9,206718298.9,
Anambra,Njikoka,148394,96.215,B,73869,74525,70682308.18,476.3151352,580,141653911.2,154009146.9,
